Intent,Utterance,Response,Language,Keywords,Confidence Threshold
Location,Pki send ung full locsayon plz.,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,San ung lkatn ny0?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,wh3res th3 c0mp@ny 1oc@t1on?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Sn mkpunta 2day 4 classes?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Nasan ung opisina sa mapa?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,What area is your school located in?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,Asn p0 yung address?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,"ung office ny0, s@n mkikita?",We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Whts ur school address?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,wH3res ur cl@ss locati0n?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,San p0 ung offic?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Can I visit your school? Where is it?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,Where is the driving school building located?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,Wheres the class location plz?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Nas@an ung tamang loct10n ny0?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,I need the class location?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,saan ung exact n@ office n1yo?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,wh@ts ur 0ff1c3 l0c@tion?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Wat is ur sch0l locatn?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,p@ki turo s@k1n ung l0kat10n ng skw3la,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Tel me ur loc?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,l0c plzzz!!,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Saang lungsod po matatagpuan ang school niyo?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,wH3r3 can i f1nd y0u?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Plz give me the direction?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,P@ki send ung l0kasyon plz.,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,How can I reach your school by public transport?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,Malapit ba ang driving school ninyo sa [location]?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,Wher r u based?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,s@n banda ang t@man pwesto nyo?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,s3nd m3 ur sch00l addr355 plz?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Nas@an banda ung school n1yo?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,nas@ng lugar ung hq ny0?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Gaano kalayo ang school niyo mula sa [landmark]?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,Can you tell me the address of your driving school?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,Gaano kalayo ang school niyo sa city center?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,How can I get to your school by car?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,n@san ung skwelahan?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Is there parking at your school's location?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,c@n u t3ll m3 wh3r3 ur 0ffic3 1s?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,wh@ts th3 0ffic3 addres?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Sn p0 ung 0ffice address ny0?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Tel me where u r?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,How far is your school from [place]?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,wh3r3 r u loc@ted?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,l0cat10n plz!,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Gaano kalayo ang school ninyo mula sa [place]?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,What's the location of your main branch?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,Wher iz ur plac3?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Saan ang eksaktong lokasyon ng driving school ninyo?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,Saan ako dapat pumunta para sa lessons?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,Saan ung l0kasy0n ny0?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,What's the location of your offices?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,g1ve m3 th3 d1recti0n t0 ur 0ff1ce,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,h0w d0 1 g3t t0 ur sch00l?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Nas@ng 0ffic ny0?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,What's the closest train station to your school?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,lOc@t10n! wh3r3 1t @t?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Saan matatagpuan ang school niyo?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,loc ng opisina ny0 s@n mkikita?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Saan po kayo nakabase?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,Can you send me your school's address?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,l0c,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,N@s@n ung opisn nyo?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,What's your complete address?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,Ano po ang eksaktong lokasyon ng school ninyo?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,Paano ako makakarating sa school niyo gamit ang public transport?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,h0w d0 1 kn0w wh3re 2 go?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,May parking po ba sa lokasyon ng school ninyo?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,Wher is ur location?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,N@san ang opisna ny0?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Where is your main school located?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,k@l0kal0han nyo san?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Pki turo ung tamng loksy0n.,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Wats the addres of ur place?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,s@an banda ang t@man address ny0?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,nas@an ung hq sa map?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,wh3re i5 ur 0ffic3 @ddr355?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,asan p0 ang l0kat1on ny0?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Is your school easy to locate?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,wh3r35 ur loc@ti0n?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Sn mkpunta sa opisina n1yo?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Paki sabi ung pwsto ng office.,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Ano ang physical address ng school ninyo?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,p@ki s@b1 ung @ddr3s ny0 plz?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,pki bigay ung t@man l0kat1on ny0?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,whre is ur headquarter?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,san p0 mk@ta y0ung @ddr3s ny0?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Saan ko matatagpuan ang school ninyo sa mapa?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,P@nu pumnta sa skul ny0?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,@no p0 ung lok@syon ny0?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Whre is the school loc?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,ung exact l0kat10n s@an po?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Ano ang kumpletong address ng paaralan niyo?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,How do I go to ur classrom?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Pki big@y ang tamang locti0n.,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Pleaz tell me ur adress?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,p@ki s@bi s@an ung t@m@ng pwesto ny0?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,wh3r35 y0ur 0ffic3 @?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,n@san ung 0ffic3 n1yo?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Saan ko matatagpuan ang school ninyo?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,c@N u t3LL m3 th3 wh3r3b0ut5?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Plz give ur loc info,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Puwede po bang makuha ang direksyon papunta sa school niyo?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,Ano po ang lokasyon ng main branch ninyo?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,Plz tel me ur adrss,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,locat1on,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,wh@ts ur sch00l loc@tion?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Where can I find your school on the map?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,wh3re 2 find y0ur pl@c3?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,How far is your school from [landmark]?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,Nasan ung opisn n1yo banda?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Sn ung tamang addres 4 offices?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,wh3re do i f1nd ur @ddress?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Ano po ang address ng driving school niyo?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,i n33d 2 kn0w th3 0ffic3 l0cat1on,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,@s@n ung @ddr3s ng lugar nyo?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Saan ko matatagpuan ang premises ng school ninyo?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,How do I kno where 2 go?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,l0c@t1on plz t3ll m3,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,S@n po ang lokasy0n ng skwelahan?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,n@san ung 0ffice @ddr3s ny0?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,loct,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,h0w d0 1 find ur 0ffic3 plz?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Sn ang opisn 4r loc ng school?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Malapit ba ang school niyo sa highway?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,Is your school close to the highway?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,s3nd m3 ur l0c@ti0n,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Send me ur adress plz,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Nasaan ang lokasyon ng inyong school?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,Paano po ako makakarating sa school niyo gamit ang sasakyan?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,How do I find ur locati0n?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Puwede po bang malaman kung saan kayo nakabase?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,I need ur place location plz,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Where exactly is your driving school?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,Pki turo ang tamang lkcayon.,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Do you have branches? Where's the main one?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,wh3re iz ur 0ff1ce?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Can you provide the address for your driving school?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,Tell me ur adress plz?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,wh3r3 i5 th3 l0cat1on?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,wh@t5 th3 addr355 of y0ur p1ac3?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,San banda ang 0ffice sa mapa?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,s@n mkikita @ng skul n1yo?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,N@san ung loct1on ng sch?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,San ang offis ng office nyo?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Ano ang address ng inyong opisina?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",Filipino,"location, where, address, place",0.75
Location,wh3r3s th3 @ddr3ss of y0ur bldg?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,san ang opisina ny0 banda?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Sn ung tamng pwesto ng skwelahan?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,i n33d 2 kn0w ur h3adqu@rt3r,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,Give me ur adrees now plz,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,What's the address of your main office?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,Pki saby ung tamang l0kasyon.,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Pls send me ur sch locatiom,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
Location,How close is your school to the bus station?,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines",English,"location, where, address, place",0.75
Location,Sn ung tman address?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,saan ko mkikita ung sch0ol n1yo?,We are a registered driving school with the Land Transportation Office (LTO) and the Department of Transportation (DOTr).,Filipino,"location, where, address, place",0.75
Location,Send me the addres now plz,"We are located at 537 Santol Street Sampaloc, Manila 1008 Metro Manila Philippines.",English,"location, where, address, place",0.75
